Timestamp,MAXnetOUT,MAXnetIN,AVGnetOut,AVGnetIN
2021-03-21T15:53:00.000Z,9594329,4031633,6745552.666666667,1168308.8333333333
2021-03-21T15:54:00.000Z,19446903,17342753,10066513.666666666,4734949.166666667
2021-03-21T15:55:00.000Z,8694384,3082498,6339264,1040650.3333333334
2021-03-21T15:56:00.000Z,8532140,3989225,5303172.333333333,1010151.5
2021-03-21T15:57:00.000Z,7475419,1910051,5348942.666666667,419649
2021-03-21T15:58:00.000Z,7625534,1847191,5573066.333333333,434931.5
2021-03-21T15:59:00.000Z,11826763,5884770,8182635.666666667,2031424.1666666667
2021-03-21T16:00:00.000Z,9513168,3868026,7072735.333333333,1243497.5
2021-03-21T16:01:00.000Z,9994749,5886352,6223672.166666667,2019313.5
2021-03-21T16:02:00.000Z,18008782,17441515,6856251.666666667,3671803.5
2021-03-21T16:03:00.000Z,18111898,10230428,9385112,2705624.8333333335
2021-03-21T16:04:00.000Z,8556261,1957486,5471869.166666667,1105717.8333333333
2021-03-21T16:05:00.000Z,10821472,3937627,6429396.666666667,1132275.5
2021-03-21T16:06:00.000Z,9843235,1867819,7612470.333333333,1077688.8333333333
2021-03-21T16:07:00.000Z,9220308,3540274,5954604,984877.1666666666
2021-03-21T16:08:00.000Z,13000451,3892399,7704956,1336091
2021-03-21T16:09:00.000Z,12527911,5389516,8808936.333333334,3312355.6666666665
2021-03-21T16:10:00.000Z,30940710,36762261,12267375.333333334,8713614.166666666
2021-03-21T16:11:00.000Z,5484361,1402827,4379931,409263.5
2021-03-21T16:12:00.000Z,5263868,165615,4624857.833333333,125030.83333333333
2021-03-21T16:13:00.000Z,9904623,3120520,6768974.333333333,1016211.8333333334
2021-03-21T16:14:00.000Z,19754821,17488844,11987584.5,6310374.5
