Timestamp,Host__Network__In__Bytes
"2021-04-12T19:11:24.859Z",6384768
"2021-04-12T19:11:14.859Z",2472122
"2021-04-12T19:11:04.859Z",686972
"2021-04-12T19:10:54.859Z",2103222
"2021-04-12T19:10:44.859Z",286977
"2021-04-12T19:10:34.860Z",176252
"2021-04-12T19:10:24.859Z",71526
"2021-04-12T19:10:14.859Z",96702
"2021-04-12T19:10:04.860Z",324143
"2021-04-12T19:09:54.859Z",1883936
"2021-04-12T19:09:44.859Z",202770
"2021-04-12T19:09:34.859Z",152115
"2021-04-12T19:09:24.859Z",1524109
"2021-04-12T19:09:14.859Z",6883412
"2021-04-12T19:09:04.859Z",1188217
"2021-04-12T19:08:54.864Z",874290
"2021-04-12T19:08:44.859Z",135887
"2021-04-12T19:08:34.859Z",213687
"2021-04-12T19:08:24.859Z",2064527
"2021-04-12T19:08:14.859Z",98641
"2021-04-12T19:08:04.859Z",147743
"2021-04-12T19:07:54.859Z",2061705
"2021-04-12T19:07:44.859Z",71487
"2021-04-12T19:07:34.859Z",4481994
"2021-04-12T19:07:24.859Z",170762
"2021-04-12T19:07:14.859Z",204116
"2021-04-12T19:07:04.866Z",2549336
